rank,name,location,accpt_rate,type,majors,sat,act,app_fee,tuition,stu_fac,num_undergrd,asian,internt,avg_slry,grad_rt,emply_rt
1,Stanford University,,,,,,,,,,,,,,,
2,Massachusetts Institute of Technology,,,,,,,,,,,,,,,
3,Yale University,,,,,,,,,,,,,,,
4,Harvard University,,,,,,,,,,,,,,,
5,Princeton University,,,,,,,,,,,,,,,
6,Rice University,,,,,,,,,,,,,,,
7,Bowdoin College,,,,,,,,,,,,,,,
8,University of Pennsylvania,,,,,,,,,,,,,,,
9,Washington University in St. Louis,,,,,,,,,,,,,,,
10,Brown University,,,,,,,,,,,,,,,
11,Duke University,,,,,,,,,,,,,,,
12,Columbia University,,,,,,,,,,,,,,,
13,Dartmouth College,,,,,,,,,,,,,,,
14,Vanderbilt University,,,,,,,,,,,,,,,
15,Pomona College,,,,,,,,,,,,,,,
16,California Institute of Technology,,,,,,,,,,,,,,,
17,University of Southern California,,,,,,,,,,,,,,,
18,University of Notre Dame,,,,,,,,,,,,,,,
19,University of Chicago,,,,,,,,,,,,,,,
20,Washington & Lee University,,,,,,,,,,,,,,,
21,Carleton College,,,,,,,,,,,,,,,
22,Colgate University,,,,,,,,,,,,,,,
23,University of Michigan - Ann Arbor,,,,,,,,,,,,,,,
24,Northwestern University,,,,,,,,,,,,,,,
25,Tufts University,,,,,,,,,,,,,,,
26,Williams College,,,,,,,,,,,,,,,
27,Georgetown University,,,,,,,,,,,,,,,
28,Amherst College,,,,,,,,,,,,,,,
29,Cornell University,,,,,,,,,,,,,,,
30,Barnard College,,,,,,,,,,,,,,,
31,Haverford College,,,,,,,,,,,,,,,
32,Carnegie Mellon University,,,,,,,,,,,,,,,
33,Emory University,,,,,,,,,,,,,,,
34,University of California - Los Angeles,,,,,,,,,,,,,,,
35,Harvey Mudd College,,,,,,,,,,,,,,,
36,Claremont McKenna College,,,,,,,,,,,,,,,
37,Middlebury College,,,,,,,,,,,,,,,
38,Swarthmore College,,,,,,,,,,,,,,,
39,Bates College,,,,,,,,,,,,,,,
40,University of Virginia,,,,,,,,,,,,,,,
41,University of Texas - Austin,,,,,,,,,,,,,,,
42,University of California - Berkeley,,,,,,,,,,,,,,,
43,Virginia Tech,,,,,,,,,,,,,,,
44,University of North Carolina at Chapel Hill,,,,,,,,,,,,,,,
45,Davidson College,,,,,,,,,,,,,,,
46,Colby College,,,,,,,,,,,,,,,
47,Hamilton College,,,,,,,,,,,,,,,
48,Georgia Institute of Technology,,,,,,,,,,,,,,,
49,University of Richmond,,,,,,,,,,,,,,,
50,Lehigh University,,,,,,,,,,,,,,,
51,Grinnell College,,,,,,,,,,,,,,,
52,Northeastern University,,,,,,,,,,,,,,,
53,University of Illinois at Urbana-Champaign,,,,,,,,,,,,,,,
54,New York University,,,,,,,,,,,,,,,
55,University of Wisconsin,,,,,,,,,,,,,,,
56,Wake Forest University,,,,,,,,,,,,,,,
57,Reed College,,,,,,,,,,,,,,,
58,Bucknell University,,,,,,,,,,,,,,,
59,Johns Hopkins University,,,,,,,,,,,,,,,
60,Lafayette College,,,,,,,,,,,,,,,
61,Smith College,,,,,,,,,,,,,,,
62,Wellesley College,,,,,,,,,,,,,,,
63,University of Rochester,,,,,,,,,,,,,,,
64,Scripps College,,,,,,,,,,,,,,,
65,College of William & Mary,,,,,,,,,,,,,,,
66,University of Florida,,,,,,,,,,,,,,,
67,College of the Holy Cross,,,,,,,,,,,,,,,
68,Penn State,,,,,,,,,,,,,,,
69,Bryn Mawr College,,,,,,,,,,,,,,,
70,Wesleyan University,,,,,,,,,,,,,,,
71,Ohio State University,,,,,,,,,,,,,,,
72,Colorado School of Mines,,,,,,,,,,,,,,,
73,Texas A&M University,,,,,,,,,,,,,,,
74,Purdue University,,,,,,,,,,,,,,,
75,University of California - Santa Barbara,,,,,,,,,,,,,,,
76,University of Georgia,,,,,,,,,,,,,,,
77,University of Miami,,,,,,,,,,,,,,,
78,Tulane University,,,,,,,,,,,,,,,
79,University of Tulsa,,,,,,,,,,,,,,,
80,Boston College,,,,,,,,,,,,,,,
81,Worcester Polytechnic Institute,,,,,,,,,,,,,,,
82,Franklin & Marshall College,,,,,,,,,,,,,,,
83,Brigham Young University,,,,,,,,,,,,,,,
84,Southern Methodist University,,,,,,,,,,,,,,,
85,Mount Holyoke College,,,,,,,,,,,,,,,
86,Kenyon College,,,,,,,,,,,,,,,
87,University of Washington,,,,,,,,,,,,,,,
88,Stevens Institute of Technology,,,,,,,,,,,,,,,
89,University of Minnesota - Twin Cities,,,,,,,,,,,,,,,
90,Pitzer College,,,,,,,,,,,,,,,
91,Macalester College,,,,,,,,,,,,,,,
92,Colorado College,,,,,,,,,,,,,,,
93,Rensselaer Polytechnic Institute,,,,,,,,,,,,,,,
94,Boston University,,,,,,,,,,,,,,,
95,Michigan State University,,,,,,,,,,,,,,,
96,Santa Clara University,,,,,,,,,,,,,,,
97,Case Western Reserve University,,,,,,,,,,,,,,,
98,Clemson University,,,,,,,,,,,,,,,
99,University of California - Davis,,,,,,,,,,,,,,,
100,Vassar College,,,,,,,,,,,,,,,
